CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",5592572,5868132,5978112,5871406,6179018,6800798
16180,"Carson City, NV (Metropolitan Statistical Area)",3397457,3551097,3861253,3782635,3995443,4285306
16220,"Casper, WY (Metropolitan Statistical Area)",5594566,6088936,5944997,5291154,5652220,6272555
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",18322704,18996693,18961465,18950945,20601383,22009028
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",6302357,6511973,6509239,6369169,6800392,7456647
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",11567426,11707288,12102527,12249456,13210310,14328149
16620,"Charleston, WV (Metropolitan Statistical Area)",12811681,13867934,13418906,12848219,13831265,14890707
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",41712863,44312517,47060120,47105170,51272182,56933006
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",168119917,175798075,185714343,190479926,209564590,228912666
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",13408130,13973357,14345709,14187713,15923670,17190032
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",29616001,30528556,31684933,32370138,35528211,40041675
16940,"Cheyenne, WY (Metropolitan Statistical Area)",5428708,5946970,6227079,5818556,6712603,7545325
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",674568186,707911107,728720837,700439835,769312775,832899746
17020,"Chico, CA (Metropolitan Statistical Area)",9181452,9461545,9856895,9525848,10292007,11077391
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",145242197,148905658,159451152,158437792,171723811,186141091
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",12303121,12714064,13197852,13580848,15027941,16209280
17420,"Cleveland, TN (Metropolitan Statistical Area)",4678425,4816208,4936301,5213720,5710644,6295571
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",128644607,133796772,139963561,137214134,149096334,162788382
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",6045951,6591515,6896009,7390881,8653683,9609199
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",12461621,13493819,14012498,13802631,16034625,18180969
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",35086959,36962088,39290583,41409100,44938171,47904871
17860,"Columbia, MO (Metropolitan Statistical Area)",9957674,10247016,10893435,10866854,11808497,12513823
17900,"Columbia, SC (Metropolitan Statistical Area)",41010232,42574084,44328453,45291077,49529881,54072404
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",14601270,15049784,15613994,15751261,16530688,17038159
18020,"Columbus, IN (Metropolitan Statistical Area)",6366981,6882839,7039902,6684439,6906328,7978872
18140,"Columbus, OH (Metropolitan Statistical Area)",129945459,134348386,141340269,142634097,157415629,169123313
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",21073008,23011404,23369049,21714296,25035039,28228125
18700,"Corvallis, OR (Metropolitan Statistical Area)",4318847,4593075,4761020,4809228,5159868,5442662
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",14385761,15318742,16592388,17445164,19768464,21491107
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3790007,3933964,4041770,4003309,4176563,4342332
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",483732021,516335113,545754166,545657573,610576458,688928266
19140,"Dalton, GA (Metropolitan Statistical Area)",6885582,6971469,7159253,7046080,7770263,8726343
19180,"Danville, IL (Metropolitan Statistical Area)",3203166,3278136,3328505,3228419,3541452,3945756
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",7382558,7935575,8563693,8762106,9879022,10811119
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",21554709,21890213,22491878,22319715,24017835,25773796
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",42546733,44000272,46412794,46685969,49872557,53329306
19460,"Decatur, AL (Metropolitan Statistical Area)",6090215,6391475,6443397,6636108,7259731,8038045
19500,"Decatur, IL (Metropolitan Statistical Area)",6950487,6835100,6756582,6789028,7643422,8181485
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",20582041,21611641,22604734,23493799,25797287,28134329
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",202210170,215432065,231130993,234737821,261001853,288800471
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",51811153,53303198,56208925,59200636,64690914,67333798
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",256207316,265442500,270219297,262361413,283284759,305411601
20020,"Dothan, AL (Metropolitan Statistical Area)",6355776,6558449,6877417,7080795,7880258,8409993
20100,"Dover, DE (Metropolitan Statistical Area)",7633026,7983420,8755676,8579285,9248811,9919836
20220,"Dubuque, IA (Metropolitan Statistical Area)",6389591,6494713,6923400,7261763,7758432,8184019
