GeoFips,GeoName,2020,2021,2022
19460,"Decatur, AL",6636108.0,7259731.0,8038045.0
19500,"Decatur, IL",6789028.0,7643422.0,8181485.0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",23493799.0,25797287.0,28134329.0
19740,"Denver-Aurora-Lakewood, CO",234737821.0,261001853.0,288800471.0
19780,"Des Moines-West Des Moines, IA",59200636.0,64690914.0,67333798.0
19820,"Detroit-Warren-Dearborn, MI",262361413.0,283284759.0,305411601.0
20020,"Dothan, AL",7080795.0,7880258.0,8409993.0
20100,"Dover, DE",8579285.0,9248811.0,9919836.0
20220,"Dubuque, IA",7261763.0,7758432.0,8184019.0
20260,"Duluth, MN-WI",14409466.0,15688492.0,16821506.0
20500,"Durham-Chapel Hill, NC",54411216.0,59452365.0,63949634.0
20700,"East Stroudsburg, PA",8335744.0,9364423.0,10008711.0
20740,"Eau Claire, WI",9424011.0,10097906.0,10838571.0
20940,"El Centro, CA",9018819.0,9550181.0,11064218.0
21060,"Elizabethtown-Fort Knox, KY",6357914.0,6954619.0,7499866.0
21140,"Elkhart-Goshen, IN",16099107.0,18881979.0,21094129.0
21300,"Elmira, NY",3784551.0,4050970.0,4336930.0
21340,"El Paso, TX",34444083.0,38688429.0,43283173.0
21420,"Enid, OK",2697469.0,3091290.0,3318617.0
21500,"Erie, PA",11768922.0,12328704.0,13170571.0
21660,"Eugene-Springfield, OR",17483746.0,19587114.0,20912752.0
21780,"Evansville, IN-KY",18785163.0,22531658.0,25277686.0
21820,"Fairbanks, AK",5862412.0,6412251.0,6803651.0
22020,"Fargo, ND-MN",15931879.0,17464735.0,18792230.0
22140,"Farmington, NM",5280443.0,5853289.0,6594152.0
22180,"Fayetteville, NC",22722169.0,24601958.0,25960429.0
22220,"Fayetteville-Springdale-Rogers, AR",30359863.0,34341617.0,37748740.0
22380,"Flagstaff, AZ",7473214.0,8329374.0,9080290.0
22420,"Flint, MI",16134835.0,16872504.0,17635437.0
22500,"Florence, SC",10209440.0,11050747.0,11807247.0
22520,"Florence-Muscle Shoals, AL",5457506.0,5960608.0,6540232.0
22540,"Fond du Lac, WI",5371463.0,5698341.0,6203445.0
22660,"Fort Collins, CO",21739106.0,24027090.0,25922906.0
22900,"Fort Smith, AR-OK",10154236.0,11004826.0,12023877.0
23060,"Fort Wayne, IN",22942639.0,25608284.0,28564762.0
23420,"Fresno, CA",46980382.0,51719474.0,55426932.0
23460,"Gadsden, AL",3040945.0,3241061.0,3489358.0
23540,"Gainesville, FL",16566347.0,18233818.0,19655180.0
23580,"Gainesville, GA",12410387.0,13459885.0,15263566.0
23900,"Gettysburg, PA",3908952.0,4221991.0,4428842.0
24020,"Glens Falls, NY",6794424.0,7428243.0,8033710.0
24140,"Goldsboro, NC",5094730.0,5619779.0,6048896.0
24220,"Grand Forks, ND-MN",5713998.0,6171164.0,6580435.0
24260,"Grand Island, NE",4385346.0,5050255.0,5387118.0
24300,"Grand Junction, CO",7032034.0,7615132.0,8217566.0
24340,"Grand Rapids-Kentwood, MI",63946591.0,70431636.0,77296494.0
24420,"Grants Pass, OR",3122711.0,3437966.0,3657801.0
24500,"Great Falls, MT",3930708.0,4283429.0,4781280.0
24540,"Greeley, CO",17658274.0,23571836.0,27344358.0
24580,"Green Bay, WI",21413364.0,22649189.0,24564859.0
24660,"Greensboro-High Point, NC",42170992.0,45335977.0,49028583.0
24780,"Greenville, NC",9681025.0,10290812.0,10920663.0
24860,"Greenville-Anderson, SC",48061090.0,51973174.0,57403426.0
25060,"Gulfport-Biloxi, MS",18351914.0,20800858.0,23511141.0
25180,"Hagerstown-Martinsburg, MD-WV",11718965.0,13030033.0,13990345.0
25220,"Hammond, LA",4463921.0,4969998.0,5446545.0
25260,"Hanford-Corcoran, CA",6935198.0,7513969.0,8145669.0
25420,"Harrisburg-Carlisle, PA",41121921.0,44657386.0,47815097.0
25500,"Harrisonburg, VA",8087108.0,9064730.0,10225778.0
25540,"Hartford-East Hartford-Middletown, CT",100007792.0,106124629.0,114887291.0
25620,"Hattiesburg, MS",6479773.0,7312754.0,7900675.0
25860,"Hickory-Lenoir-Morganton, NC",15418495.0,16580294.0,18281197.0
25940,"Hilton Head Island-Bluffton, SC",10736520.0,11647263.0,12496907.0
25980,"Hinesville, GA",4022017.0,4547370.0,4768415.0
26140,"Homosassa Springs, FL",4512626.0,5094022.0,5663913.0
26300,"Hot Springs, AR",3654049.0,3915834.0,4199837.0
26380,"Houma-Thibodaux, LA",9190469.0,9743559.0,10812415.0
26420,"Houston-The Woodlands-Sugar Land, TX",492800819.0,557853889.0,633184566.0
26580,"Huntington-Ashland, WV-KY-OH",14860950.0,16322801.0,18045678.0
26620,"Huntsville, AL",32241176.0,34924402.0,38100939.0
26820,"Idaho Falls, ID",9651684.0,10333567.0,11247952.0
26900,"Indianapolis-Carmel-Anderson, IN",151052594.0,167265961.0,184394385.0
26980,"Iowa City, IA",11179950.0,11987636.0,12900047.0
27060,"Ithaca, NY",6176950.0,6607366.0,7273599.0
27100,"Jackson, MI",6765666.0,7586504.0,7989981.0
27140,"Jackson, MS",29177444.0,31538307.0,34043360.0
27180,"Jackson, TN",8756922.0,9870144.0,10814137.0
27260,"Jacksonville, FL",93608181.0,104479838.0,117162018.0
27340,"Jacksonville, NC",9313275.0,10183046.0,10736986.0
27500,"Janesville-Beloit, WI",7958487.0,8526813.0,9277006.0
27620,"Jefferson City, MO",8431867.0,8663494.0,9697576.0
27740,"Johnson City, TN",8246505.0,9215823.0,9942621.0
27780,"Johnstown, PA",4929486.0,5184801.0,5499416.0
27860,"Jonesboro, AR",5865729.0,6673099.0,7015801.0
27900,"Joplin, MO",7731904.0,8503794.0,9406740.0
27980,"Kahului-Wailuku-Lahaina, HI",9057393.0,10477537.0,11649377.0
28020,"Kalamazoo-Portage, MI",15951461.0,17417792.0,18785711.0
28100,"Kankakee, IL",6489551.0,7525573.0,8319646.0
28140,"Kansas City, MO-KS",145306052.0,155136770.0,169501437.0
28420,"Kennewick-Richland, WA",16440914.0,18227998.0,19552976.0
28660,"Killeen-Temple, TX",20517414.0,22362452.0,24104514.0
28700,"Kingsport-Bristol, TN-VA",14082593.0,15933034.0,17596167.0
28740,"Kingston, NY",7788867.0,8298425.0,9052826.0
28940,"Knoxville, TN",47941533.0,53454379.0,58892855.0
29020,"Kokomo, IN",4220848.0,4500107.0,5078730.0
29100,"La Crosse-Onalaska, WI-MN",8504697.0,9097236.0,9692924.0
29180,"Lafayette, LA",21789609.0,23237665.0,24995703.0
29200,"Lafayette-West Lafayette, IN",11727421.0,12551389.0,14002358.0
29340,"Lake Charles, LA",13517296.0,16200113.0,18573674.0
29420,"Lake Havasu City-Kingman, AZ",6206244.0,7135173.0,7714869.0
29460,"Lakeland-Winter Haven, FL",30037406.0,33629834.0,37305232.0
29540,"Lancaster, PA",30157425.0,33061440.0,36311941.0
29620,"Lansing-East Lansing, MI",27893635.0,29977870.0,32633108.0
29700,"Laredo, TX",10645761.0,13473454.0,17010397.0
29740,"Las Cruces, NM",7952700.0,8779723.0,9336449.0
29820,"Las Vegas-Henderson-Paradise, NV",124127270.0,141958382.0,160727901.0
29940,"Lawrence, KS",5399092.0,5777454.0,6176139.0
30020,"Lawton, OK",5460003.0,5875614.0,6198323.0
30140,"Lebanon, PA",6034698.0,6762895.0,7510378.0
30300,"Lewiston, ID-WA",3000045.0,3279736.0,3640528.0
30340,"Lewiston-Auburn, ME",5355063.0,5651673.0,6001437.0
30460,"Lexington-Fayette, KY",30567978.0,32589709.0,35670220.0
30620,"Lima, OH",7809946.0,9444962.0,10789408.0
30700,"Lincoln, NE",21751559.0,23146265.0,25458730.0
30780,"Little Rock-North Little Rock-Conway, AR",40263938.0,43636989.0,47322282.0
30860,"Logan, UT-ID",6789710.0,7502206.0,8009135.0
30980,"Longview, TX",14514417.0,17025461.0,20258872.0
31020,"Longview, WA",5653568.0,6176501.0,6626368.0
31080,"Los Angeles-Long Beach-Anaheim, CA",1035126052.0,1136104564.0,1227469203.0
31140,"Louisville/Jefferson County, KY-IN",77584542.0,83768943.0,90835739.0
31180,"Lubbock, TX",15523398.0,16792969.0,18116161.0
31340,"Lynchburg, VA",10787241.0,11597472.0,12464078.0
31420,"Macon-Bibb County, GA",10813900.0,11926266.0,12760392.0
31460,"Madera, CA",6508219.0,7304127.0,7737581.0
31540,"Madison, WI",52373929.0,56816143.0,60909109.0
31700,"Manchester-Nashua, NH",28630602.0,32576917.0,34533202.0
31740,"Manhattan, KS",7385591.0,7974737.0,8456739.0
31860,"Mankato, MN",5751905.0,6223577.0,6830555.0
31900,"Mansfield, OH",4679636.0,5114941.0,5493751.0
32580,"McAllen-Edinburg-Mission, TX",23039904.0,25484204.0,27685464.0
32780,"Medford, OR",10053199.0,11289595.0,12023901.0
32820,"Memphis, TN-MS-AR",81066049.0,89602344.0,96182860.0
32900,"Merced, CA",9577666.0,10539064.0,11560438.0
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",377067647.0,433623411.0,483754676.0
33140,"Michigan City-La Porte, IN",4175273.0,4733773.0,5286067.0
33220,"Midland, MI",5874076.0,6417567.0,7046843.0
33260,"Midland, TX",22864349.0,38282294.0,55015425.0
33340,"Milwaukee-Waukesha, WI",104656086.0,112462208.0,120562995.0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",276269394.0,299388542.0,323972835.0
33540,"Missoula, MT",6168694.0,7112467.0,7710069.0
33660,"Mobile, AL",22248854.0,24871951.0,27360640.0
33700,"Modesto, CA",23976896.0,26491489.0,28673725.0
33740,"Monroe, LA",8423330.0,8845752.0,9650099.0
33780,"Monroe, MI",5898802.0,6540743.0,7118880.0
33860,"Montgomery, AL",19029409.0,20294931.0,22079644.0
34060,"Morgantown, WV",8038099.0,8946309.0,9656788.0
34100,"Morristown, TN",5562636.0,6194570.0,6730247.0
34580,"Mount Vernon-Anacortes, WA",6902172.0,7828693.0,8772870.0
34620,"Muncie, IN",4301995.0,4634566.0,5102380.0
34740,"Muskegon, MI",6166445.0,6833407.0,7408317.0
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",20386231.0,22603005.0,25132236.0
34900,"Napa, CA",11148064.0,12648671.0,13165651.0
34940,"Naples-Marco Island, FL",21811324.0,25500712.0,28083165.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",146722122.0,166955750.0,187781084.0
35100,"New Bern, NC",5732840.0,6314641.0,6619428.0
35300,"New Haven-Milford, CT",53226837.0,57360075.0,61456416.0
35380,"New Orleans-Metairie, LA",75060730.0,84589493.0,94030686.0
35620,"New York-Newark-Jersey City, NY-NJ-PA",1856623343.0,2014724628.0,2163208840.0
35660,"Niles, MI",7988699.0,8399134.0,9029909.0
35840,"North Port-Sarasota-Bradenton, FL",40574975.0,44741027.0,49368638.0
35980,"Norwich-New London, CT",19068601.0,20253402.0,22048687.0
36100,"Ocala, FL",11518233.0,12859850.0,14033450.0
36140,"Ocean City, NJ",5634040.0,6233392.0,6533460.0
36220,"Odessa, TX",10718382.0,11569432.0,14191593.0
36260,"Ogden-Clearfield, UT",32310062.0,35560893.0,39167850.0
36420,"Oklahoma City, OK",76642925.0,85657992.0,94741711.0
36500,"Olympia-Lacey-Tumwater, WA",14858046.0,16493281.0,17926804.0
36540,"Omaha-Council Bluffs, NE-IA",70016966.0,75406469.0,85021025.0
36740,"Orlando-Kissimmee-Sanford, FL",149100592.0,172184049.0,194472288.0
36780,"Oshkosh-Neenah, WI",11135535.0,11620371.0,12397611.0
36980,"Owensboro, KY",5838576.0,6278123.0,6742348.0
37100,"Oxnard-Thousand Oaks-Ventura, CA",53869917.0,58453063.0,62328544.0
37340,"Palm Bay-Melbourne-Titusville, FL",28150303.0,31789705.0,34625829.0
37460,"Panama City, FL",9368012.0,10631862.0,11683097.0
37620,"Parkersburg-Vienna, WV",3748102.0,4113941.0,4353752.0
37860,"Pensacola-Ferry Pass-Brent, FL",22366264.0,24912888.0,27079985.0
37900,"Peoria, IL",21400124.0,23112589.0,26281554.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",444223702.0,480905797.0,518485094.0
38060,"Phoenix-Mesa-Chandler, AZ",290366220.0,326751865.0,362086516.0
38220,"Pine Bluff, AR",3413395.0,3876393.0,4121774.0
38300,"Pittsburgh, PA",154991664.0,168864044.0,181485344.0
38340,"Pittsfield, MA",7227895.0,7640673.0,8154631.0
38540,"Pocatello, ID",3594028.0,3770977.0,4229137.0
38860,"Portland-South Portland, ME",36160081.0,40073187.0,43764270.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",174148303.0,189920665.0,204319374.0
38940,"Port St. Lucie, FL",19807982.0,21597775.0,24145603.0
39100,"Poughkeepsie-Newburgh-Middletown, NY",35677403.0,38951452.0,42861273.0
39150,"Prescott Valley-Prescott, AZ",8024791.0,9118525.0,9797212.0
39300,"Providence-Warwick, RI-MA",89685955.0,97994805.0,105570771.0
39340,"Provo-Orem, UT",33210274.0,37101773.0,40760880.0
39380,"Pueblo, CO",6580419.0,7441389.0,7836211.0
39460,"Punta Gorda, FL",6447747.0,6978329.0,7714344.0
39540,"Racine, WI",8889241.0,9277609.0,9908883.0
39580,"Raleigh-Cary, NC",97718586.0,109394824.0,119675296.0
39660,"Rapid City, SD",7170193.0,7762962.0,8459109.0
39740,"Reading, PA",20727737.0,22171837.0,23750502.0
39820,"Redding, CA",8732869.0,9320031.0,9920685.0
39900,"Reno, NV",32261452.0,36526712.0,40094964.0
40060,"Richmond, VA",92841631.0,100834922.0,109512938.0
40140,"Riverside-San Bernardino-Ontario, CA",196541554.0,218417650.0,237912621.0
40220,"Roanoke, VA",16839040.0,18472540.0,19935870.0
40340,"Rochester, MN",14471485.0,15505863.0,16500093.0
40380,"Rochester, NY",64926129.0,69560895.0,75085365.0
40420,"Rockford, IL",15508185.0,16387200.0,18128610.0
40580,"Rocky Mount, NC",6887216.0,7541040.0,8097255.0
40660,"Rome, GA",4173352.0,4589641.0,4947341.0
40900,"Sacramento-Roseville-Folsom, CA",148948757.0,163654015.0,176275525.0
40980,"Saginaw, MI",8718615.0,9484109.0,10090940.0
41060,"St. Cloud, MN",11125226.0,11796980.0,12943004.0
41100,"St. George, UT",7743796.0,8769698.0,9561278.0
41140,"St. Joseph, MO-KS",6249898.0,6558248.0,6873162.0
41180,"St. Louis, MO-IL",175410139.0,192860220.0,209935558.0
41420,"Salem, OR",19999181.0,22147163.0,24074818.0
41500,"Salinas, CA",28165462.0,30843921.0,33248856.0
41540,"Salisbury, MD-DE",23105367.0,25886286.0,28573071.0
41620,"Salt Lake City, UT",108589411.0,123044193.0,135409299.0
41660,"San Angelo, TX",7224225.0,8161789.0,9237764.0
41700,"San Antonio-New Braunfels, TX",134158599.0,146660892.0,163060744.0
41740,"San Diego-Chula Vista-Carlsbad, CA",246738140.0,272825696.0,295644871.0
41860,"San Francisco-Oakland-Berkeley, CA",611744434.0,697497699.0,729104843.0
41940,"San Jose-Sunnyvale-Santa Clara, CA",346552793.0,395506682.0,403513248.0
42020,"San Luis Obispo-Paso Robles, CA",18039343.0,19809217.0,21712946.0
42100,"Santa Cruz-Watsonville, CA",16234132.0,18111113.0,19175929.0
42140,"Santa Fe, NM",7234822.0,8208467.0,8797344.0
42200,"Santa Maria-Santa Barbara, CA",30869226.0,34331324.0,36081257.0
42220,"Santa Rosa-Petaluma, CA",31609410.0,34838439.0,36876932.0
42340,"Savannah, GA",23201918.0,26427662.0,29451859.0
42540,"Scranton--Wilkes-Barre, PA",27502907.0,30010832.0,32328331.0
42660,"Seattle-Tacoma-Bellevue, WA",440341086.0,486110786.0,517803332.0
42680,"Sebastian-Vero Beach, FL",7446664.0,8823672.0,9572794.0
42700,"Sebring-Avon Park, FL",2619950.0,2828612.0,3214619.0
43100,"Sheboygan, WI",7295590.0,7689517.0,8087067.0
43300,"Sherman-Denison, TX",5176607.0,5802157.0,6330800.0
43340,"Shreveport-Bossier City, LA",19846119.0,23606383.0,27362633.0
43420,"Sierra Vista-Douglas, AZ",5341327.0,5417470.0,5697691.0
43580,"Sioux City, IA-NE-SD",9050936.0,10186714.0,10918459.0
43620,"Sioux Falls, SD",23679898.0,25914349.0,27769716.0
43780,"South Bend-Mishawaka, IN-MI",15736149.0,17174876.0,19041752.0
43900,"Spartanburg, SC",16723221.0,17925615.0,19484900.0
44060,"Spokane-Spokane Valley, WA",29654030.0,33475127.0,35688797.0
44100,"Springfield, IL",11673063.0,12875860.0,13952014.0
44140,"Springfield, MA",35077787.0,37574448.0,40110493.0
44180,"Springfield, MO",21829040.0,24354048.0,26687316.0
44220,"Springfield, OH",4775810.0,5126055.0,5499865.0
44300,"State College, PA",9197951.0,9757410.0,10324934.0
44420,"Staunton, VA",5281617.0,5738021.0,6332013.0
44700,"Stockton, CA",33160269.0,37819829.0,40227907.0
44940,"Sumter, SC",5137220.0,5498284.0,5800970.0
45060,"Syracuse, NY",42514228.0,45879845.0,49280551.0
45220,"Tallahassee, FL",18556226.0,20388463.0,22394066.0
45300,"Tampa-St. Petersburg-Clearwater, FL",175918088.0,197243036.0,219413810.0
45460,"Terre Haute, IN",7776867.0,8848899.0,9774003.0
45500,"Texarkana, TX-AR",5796312.0,6205246.0,6745840.0
45540,"The Villages, FL",4139278.0,5040359.0,5784932.0
45780,"Toledo, OH",36384789.0,41586401.0,45846423.0
45820,"Topeka, KS",12657178.0,13497444.0,14387659.0
45940,"Trenton-Princeton, NJ",40134697.0,45102453.0,49620483.0
46060,"Tucson, AZ",48111914.0,51827743.0,55799638.0
46140,"Tulsa, OK",52039538.0,58015636.0,61966173.0
46220,"Tuscaloosa, AL",11562076.0,12513095.0,13818050.0
46300,"Twin Falls, ID",5398314.0,6058760.0,6828866.0
46340,"Tyler, TX",11699225.0,13025307.0,14728798.0
46520,"Urban Honolulu, HI",63677849.0,69039157.0,74422320.0
46540,"Utica-Rome, NY",13508223.0,14184880.0,15114847.0
46660,"Valdosta, GA",6160989.0,6697993.0,7132000.0
46700,"Vallejo, CA",31576656.0,34376655.0,35407753.0
47020,"Victoria, TX",4729177.0,5305939.0,5906748.0
47220,"Vineland-Bridgeton, NJ",6645382.0,7250039.0,7831072.0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",100637377.0,108551620.0,116686015.0
47300,"Visalia, CA",19036118.0,20915635.0,22794238.0
47380,"Waco, TX",13529092.0,14830769.0,16275790.0
47460,"Walla Walla, WA",3441723.0,3723376.0,4134076.0
47580,"Warner Robins, GA",8558807.0,9169763.0,9812237.0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",573551327.0,617563082.0,660626045.0
47940,"Waterloo-Cedar Falls, IA",10209830.0,11167870.0,11823535.0
48060,"Watertown-Fort Drum, NY",6615735.0,7122149.0,7597846.0
48140,"Wausau-Weston, WI",10472971.0,11249443.0,12065097.0
48260,"Weirton-Steubenville, WV-OH",5215200.0,6466422.0,7446410.0
48300,"Wenatchee, WA",6823149.0,7582842.0,8354876.0
48540,"Wheeling, WV-OH",8822758.0,10799045.0,12603446.0
48620,"Wichita, KS",36899386.0,39523054.0,43935159.0
48660,"Wichita Falls, TX",6479629.0,6880398.0,7590310.0
48700,"Williamsport, PA",5792945.0,6435843.0,7039867.0
48900,"Wilmington, NC",16262499.0,18399442.0,20126992.0
49020,"Winchester, VA-WV",7799729.0,8536953.0,9181393.0
49180,"Winston-Salem, NC",34695606.0,37866996.0,40939454.0
49340,"Worcester, MA-CT",51046885.0,55550204.0,60342885.0
49420,"Yakima, WA",11112097.0,12137931.0,13038444.0
49620,"York-Hanover, PA",21860983.0,23378894.0,25186824.0
49660,"Youngstown-Warren-Boardman, OH-PA",20934683.0,22934691.0,24989650.0
49700,"Yuba City, CA",7222073.0,7977039.0,8608166.0
49740,"Yuma, AZ",7920696.0,8592508.0,9883018.0
